vehicle_id,speed,travel_time,waiting_time,distance
diag.62,6.5227,120.0000,0.0000,782.7200
anti.73,8.1533,96.0000,0.0000,782.7200
anti.74,8.2392,95.0000,0.0000,782.7200
diag.63,6.4688,121.0000,0.0000,782.7200
anti.75,8.2392,95.0000,0.0000,782.7200
diag.64,6.5775,119.0000,0.0000,782.7200
anti.76,8.4163,93.0000,0.0000,782.7200
anti.77,8.4163,93.0000,0.0000,782.7200
diag.65,6.4688,121.0000,0.0000,782.7200
anti.78,8.2392,95.0000,0.0000,782.7200
diag.66,6.5775,119.0000,1.0000,782.7200
anti.79,8.3268,94.0000,0.0000,782.7200
diag.67,6.7476,116.0000,0.0000,782.7200
anti.80,8.3268,94.0000,0.0000,782.7200
diag.68,6.6899,117.0000,0.0000,782.7200
anti.81,8.3268,94.0000,0.0000,782.7200
diag.69,6.8660,114.0000,0.0000,782.7200
anti.82,8.6969,90.0000,0.0000,782.7200
diag.70,6.8660,114.0000,0.0000,782.7200
anti.83,8.4163,93.0000,0.0000,782.7200
anti.84,8.3268,94.0000,0.0000,782.7200
diag.71,6.4688,121.0000,0.0000,782.7200
anti.85,8.3268,94.0000,0.0000,782.7200
diag.72,6.5775,119.0000,0.0000,782.7200
anti.86,8.3268,94.0000,0.0000,782.7200
diag.73,6.6332,118.0000,0.0000,782.7200
anti.87,8.5078,92.0000,0.0000,782.7200
diag.74,6.7476,116.0000,0.0000,782.7200
anti.88,8.3268,94.0000,0.0000,782.7200
diag.75,6.6332,118.0000,0.0000,782.7200
anti.89,8.3268,94.0000,0.0000,782.7200
diag.76,6.6332,118.0000,0.0000,782.7200
diag.77,6.6899,117.0000,0.0000,782.7200
anti.90,8.1533,96.0000,0.0000,782.7200
diag.78,6.8063,115.0000,0.0000,782.7200
anti.91,8.1533,96.0000,0.0000,782.7200
diag.79,6.8660,114.0000,0.0000,782.7200
anti.92,7.9869,98.0000,0.0000,782.7200
diag.80,6.7476,116.0000,0.0000,782.7200
anti.93,8.0693,97.0000,0.0000,782.7200
diag.81,6.7476,116.0000,0.0000,782.7200
anti.94,8.2392,95.0000,0.0000,782.7200
diag.82,6.8063,115.0000,0.0000,782.7200
anti.95,8.4163,93.0000,0.0000,782.7200
cross.4,1.2079,315.0000,254.0000,380.5000
diag.83,6.8063,115.0000,0.0000,782.7200
anti.96,8.4163,93.0000,0.0000,782.7200
diag.84,6.7476,116.0000,0.0000,782.7200
diag.85,6.9886,112.0000,0.0000,782.7200
anti.97,8.4163,93.0000,0.0000,782.7200
diag.86,6.9886,112.0000,0.0000,782.7200
anti.98,8.2392,95.0000,0.0000,782.7200
diag.87,6.9886,112.0000,0.0000,782.7200
anti.99,8.0693,97.0000,0.0000,782.7200
diag.88,7.1809,109.0000,0.0000,782.7200
anti.100,8.0693,97.0000,0.0000,782.7200
diag.89,7.1156,110.0000,0.0000,782.7200
anti.101,8.1533,96.0000,0.0000,782.7200
anti.102,8.3268,94.0000,0.0000,782.7200
anti.103,8.4163,93.0000,0.0000,782.7200
diag.90,6.7476,116.0000,1.0000,782.7200
anti.104,8.1533,96.0000,0.0000,782.7200
diag.91,6.9267,113.0000,0.0000,782.7200
anti.105,8.1533,96.0000,0.0000,782.7200
diag.92,6.9886,112.0000,0.0000,782.7200
anti.106,8.3268,94.0000,0.0000,782.7200
diag.93,6.9267,113.0000,0.0000,782.7200
anti.107,8.5078,92.0000,0.0000,782.7200
diag.94,7.0515,111.0000,0.0000,782.7200
anti.108,8.5078,92.0000,0.0000,782.7200
anti.109,8.5078,92.0000,0.0000,782.7200
diag.95,6.9267,113.0000,0.0000,782.7200
diag.96,6.9886,112.0000,0.0000,782.7200
anti.110,8.6013,91.0000,0.0000,782.7200
diag.97,6.9886,112.0000,0.0000,782.7200
diag.98,6.9886,112.0000,0.0000,782.7200
anti.111,8.3268,94.0000,0.0000,782.7200
diag.99,6.9886,112.0000,0.0000,782.7200
anti.112,8.2392,95.0000,0.0000,782.7200
diag.100,6.8063,115.0000,0.0000,782.7200
anti.113,7.9869,98.0000,0.0000,782.7200
anti.114,7.9869,98.0000,0.0000,782.7200
diag.101,6.7476,116.0000,0.0000,782.7200
anti.115,8.1533,96.0000,0.0000,782.7200
diag.102,6.8063,115.0000,0.0000,782.7200
anti.116,8.2392,95.0000,0.0000,782.7200
diag.103,7.0515,111.0000,0.0000,782.7200
anti.117,8.0693,97.0000,0.0000,782.7200
diag.104,6.8660,114.0000,0.0000,782.7200
anti.118,7.9869,98.0000,0.0000,782.7200
diag.105,6.9267,113.0000,0.0000,782.7200
anti.119,7.9869,98.0000,0.0000,782.7200
diag.106,6.9267,113.0000,0.0000,782.7200
diag.107,6.8660,114.0000,0.0000,782.7200
anti.120,7.8272,100.0000,0.0000,782.7200
anti.121,7.9063,99.0000,0.0000,782.7200
diag.108,6.9267,113.0000,0.0000,782.7200
diag.109,6.9267,113.0000,0.0000,782.7200
anti.122,7.7497,101.0000,0.0000,782.7200
anti.123,8.0693,97.0000,0.0000,782.7200
anti.124,8.0693,97.0000,0.0000,782.7200
cross.5,0.9756,390.0000,317.0000,380.5000
anti.125,7.9869,98.0000,0.0000,782.7200
diag.110,6.4688,121.0000,0.0000,782.7200
diag.111,6.5227,120.0000,0.0000,782.7200
anti.126,7.9063,99.0000,0.0000,782.7200
